domain,rating,mbfc_url,retrieved
premiumtimesng.com,Mostly Factual,https://mediabiasfactcheck.com/premium-times-bias-and-credibility/,2026-07-02
rfi.fr,Mostly Factual,https://mediabiasfactcheck.com/rfi-radio-france-internationale/,2026-07-02
rnz.co.nz,High,https://mediabiasfactcheck.com/rnz-radio-new-zealand-bias/,2026-07-02
rudaw.net,Mixed,https://mediabiasfactcheck.com/rudaw/,2026-07-02
sfgate.com,High,https://mediabiasfactcheck.com/sfgate/,2026-07-02
sixthtone.com,Mixed,https://mediabiasfactcheck.com/sixth-tone-bias-and-credibility/,2026-07-02
standaard.be,High,https://mediabiasfactcheck.com/de-standaard-bias/,2026-07-02
standardmedia.co.ke,Mixed,https://mediabiasfactcheck.com/the-standard-kenya/,2026-07-02
sudantribune.com,Mostly Factual,https://mediabiasfactcheck.com/sudan-tribune-bias-and-credibility/,2026-07-02
taiwannews.com.tw,Mostly Factual,https://mediabiasfactcheck.com/taiwan-news/,2026-07-02
texastribune.org,High,https://mediabiasfactcheck.com/texas-tribune/,2026-07-02
theafricareport.com,Mostly Factual,https://mediabiasfactcheck.com/the-africa-report-bias-and-credibility/,2026-07-02
thecitizen.co.tz,High,https://mediabiasfactcheck.com/the-citizen-tanzania-bias-and-credibility/,2026-07-02
theconversation.com,Very High,https://mediabiasfactcheck.com/the-conversation/,2026-07-02
thehill.com,Mostly Factual,https://mediabiasfactcheck.com/the-hill/,2026-07-02
thehindubusinessline.com,Mixed,https://mediabiasfactcheck.com/the-hindu-business-line/,2026-07-02
thenationalnews.com,Mixed,https://mediabiasfactcheck.com/the-national-uae/,2026-07-02
theregister.com,High,https://mediabiasfactcheck.com/the-register-uk/,2026-07-02
timesofisrael.com,Mostly Factual,https://mediabiasfactcheck.com/times-of-israel/,2026-07-02
tribune.com.pk,Mostly Factual,https://mediabiasfactcheck.com/the-express-tribune/,2026-07-02
trtworld.com,Mixed,https://mediabiasfactcheck.com/trt-world/,2026-07-02
usatoday.com,Mostly Factual,https://mediabiasfactcheck.com/usa-today-2/,2026-07-02
variety.com,High,https://mediabiasfactcheck.com/variety-magazine/,2026-07-02
voxeurop.eu,High,https://mediabiasfactcheck.com/voxeurop-bias-and-credibility/,2026-07-02
welt.de,High,https://mediabiasfactcheck.com/die-welt/,2026-07-02
wnyc.org,High,https://mediabiasfactcheck.com/wnyc/,2026-07-02
www3.nhk.or.jp,High,https://mediabiasfactcheck.com/nhk-nippon-hoso-kyokai/,2026-07-02
zdnet.com,High,https://mediabiasfactcheck.com/zdnet/,2026-07-02
